search_genome,metagenome,containment
FV_PB189-T1-4_genome,SRR063897,1.0
FV_DSM_15829_genome,SRR16916862,0.8870967741935484
FV_DSM_15829_genome,SRR17635738,0.8870967741935484
FV_DSM_15829_genome,SRR17635737,0.8817204301075269
FV_DSM_15829_genome,SRR17635741,0.8817204301075269
FV_DSM_15829_genome,SRR17635596,0.8763440860215054
FV_DSM_15829_genome,SRR17635740,0.8763440860215054
FV_DSM_15829_genome,SRR16916861,0.8709677419354839
FV_DSM_15829_genome,SRR17635689,0.8655913978494624
FV_DSM_15829_genome,SRR16916853,0.8548387096774194
FV_DSM_15829_genome,SRR16916866,0.8494623655913979
FV_PB189-T1-4_genome,SRR16916874,0.8469750889679716
FV_DSM_15829_genome,SRR513452,0.8440860215053764
FV_DSM_15829_genome,SRR12830913,0.8440860215053764
FV_DSM_15829_genome,SRR17635687,0.8387096774193549
FV_PB189-T1-4_genome,SRR17635764,0.8362989323843416
FV_DSM_15829_genome,SRR17635515,0.8333333333333334
FV_DSM_15829_genome,SRR628264,0.8333333333333334
FV_DSM_15829_genome,SRR17635658,0.8279569892473119
FV_DSM_15829_genome,SRR17635685,0.8279569892473119
FV_DSM_15829_genome,SRR10258555,0.8225806451612904
FV_DSM_15829_genome,SRR17635698,0.8225806451612904
FV_DSM_15829_genome,SRR17635479,0.8172043010752689
FV_DSM_15829_genome,SRR8834093,0.8118279569892473
FV_DSM_15829_genome,SRR12830924,0.8118279569892473
FV_DSM_15829_genome,SRR17635629,0.8118279569892473
FV_DSM_15829_genome,SRR17635659,0.8118279569892473
FV_DSM_15829_genome,ERR2014376,0.8118279569892473
FV_DSM_15829_genome,SRR18765404,0.8118279569892473
FV_DSM_15829_genome,SRR17635475,0.8118279569892473
FV_DSM_15829_genome,SRR17635739,0.8064516129032258
FV_DSM_15829_genome,SRR16916865,0.8010752688172043
FV_DSM_15829_genome,SRR16916874,0.8010752688172043
FV_DSM_15829_genome,SRR5256705,0.8010752688172043
FV_DSM_15829_genome,SRR17635683,0.8010752688172043
FV_PB189-T1-4_genome,SRR17635719,0.800711743772242
FV_DSM_15829_genome,SRR16916848,0.7956989247311828
FV_DSM_15829_genome,SRR12830910,0.7956989247311828
FV_DSM_15829_genome,SRR16916875,0.7956989247311828
FV_DSM_15829_genome,SRR13052611,0.7956989247311828
FV_DSM_15829_genome,SRR17635697,0.7956989247311828
FV_DSM_15829_genome,SRR10258553,0.7903225806451613
FV_PB189-T1-4_genome,SRR17635605,0.7900355871886121
FV_PB189-T1-4_genome,SRR17635697,0.7900355871886121
FV_PB189-T1-4_genome,SRR17635683,0.7864768683274022
FV_DSM_15829_genome,SRR5535761,0.7849462365591398
FV_PB189-T1-4_genome,SRR17635680,0.7793594306049823
FV_PB189-T1-4_genome,SRR17635624,0.7758007117437722
FV_PB189-T1-4_genome,SRR17635682,0.7758007117437722
FV_PB189-T1-4_genome,SRR17635471,0.7758007117437722
FV_DSM_15829_genome,SRR17284183,0.7741935483870968
FV_DSM_15829_genome,SRR16916857,0.7741935483870968
FV_DSM_15829_genome,SRR17284318,0.7688172043010753
FV_DSM_15829_genome,SRR16916856,0.7688172043010753
FV_PB189-T1-4_genome,SRR17635679,0.7686832740213523
FV_PB189-T1-4_genome,SRR17635807,0.7686832740213523
FV_PB189-T1-4_genome,SRR17635698,0.7686832740213523
FV_DSM_15829_genome,SRR10258575,0.7634408602150538
FV_PB189-T1-4_genome,SRR11749280,0.7615658362989324
FV_PB189-T1-4_genome,SRR17635472,0.7615658362989324
FV_DSM_15829_genome,SRR6748000,0.7580645161290323
FV_DSM_15829_genome,SRR12018958,0.7580645161290323
FV_DSM_15829_genome,SRR17635477,0.7580645161290323
FV_DSM_15829_genome,SRR17635763,0.7580645161290323
FV_DSM_15829_genome,ERR9538876,0.7580645161290323
FV_DSM_15829_genome,SRR12830915,0.7580645161290323
