Run,query,containment,ScientificName
ERR2244547,FV_DSM_15829_genome,0.5648854961832062,human reproductive system metagenome
ERR2244563,FV_DSM_15829_genome,0.5648854961832062,human reproductive system metagenome
ERR2244564,FV_DSM_15829_genome,0.5725190839694656,human reproductive system metagenome
ERR2855935,FV_DSM_15829_genome,0.5267175572519084,feces metagenome
ERR3450712,FV_DSM_15829_genome,0.5267175572519084,human metagenome
ERR3451323,FV_DSM_15829_genome,0.5038167938931297,human metagenome
ERR3950381,FV_DSM_15829_genome,0.5190839694656488,urine metagenome
ERR4421552,FV_DSM_15829_genome,0.549618320610687,human vaginal metagenome
ERR6910991,FV_DSM_15829_genome,0.5038167938931297,Homo sapiens
SRR059320,FV_PB189-T1-4_genome,0.5149253731343284,human metagenome
SRR059348,FV_DSM_15829_genome,0.6183206106870229,human metagenome
SRR059349,FV_DSM_15829_genome,0.6259541984732825,human metagenome
SRR059458,FV_DSM_15829_genome,0.6641221374045801,human metagenome
SRR059459,FV_DSM_15829_genome,0.6793893129770993,human metagenome
SRR059816,FV_DSM_15829_genome,0.5038167938931297,human metagenome
SRR059817,FV_DSM_15829_genome,0.5343511450381679,human metagenome
SRR060038,FV_DSM_15829_genome,0.6030534351145038,human metagenome
SRR062046,FV_PB189-T1-4_genome,0.5223880597014925,human metagenome
SRR062096,FV_PB189-T1-4_genome,0.5223880597014925,human metagenome
SRR062097,FV_PB189-T1-4_genome,0.5261194029850746,human metagenome
SRR063897,FV_PB189-T1-4_genome,1.0,human metagenome
SRR10258546,FV_DSM_15829_genome,0.7175572519083969,human vaginal metagenome
SRR10258547,FV_DSM_15829_genome,0.5877862595419847,human vaginal metagenome
SRR10258552,FV_DSM_15829_genome,0.5877862595419847,human vaginal metagenome
SRR10258552,FV_PB189-T1-4_genome,0.5223880597014925,human vaginal metagenome
SRR10258553,FV_DSM_15829_genome,0.6946564885496184,human vaginal metagenome
SRR10258553,FV_PB189-T1-4_genome,0.6007462686567164,human vaginal metagenome
SRR10258555,FV_DSM_15829_genome,0.7022900763358778,human vaginal metagenome
SRR10258575,FV_DSM_15829_genome,0.6717557251908397,human vaginal metagenome
SRR11236193,FV_DSM_15829_genome,0.5267175572519084,human gut metagenome
SRR11236231,FV_DSM_15829_genome,0.5343511450381679,human gut metagenome
SRR11236267,FV_DSM_15829_genome,0.6030534351145038,human gut metagenome
SRR11742806,FV_DSM_15829_genome,0.5419847328244275,human vaginal metagenome
SRR11749269,FV_DSM_15829_genome,0.648854961832061,human vaginal metagenome
SRR11749279,FV_DSM_15829_genome,0.549618320610687,human vaginal metagenome
SRR11749279,FV_PB189-T1-4_genome,0.5149253731343284,human vaginal metagenome
SRR11749280,FV_DSM_15829_genome,0.6259541984732825,human vaginal metagenome
SRR11749280,FV_PB189-T1-4_genome,0.6119402985074627,human vaginal metagenome
SRR11749281,FV_DSM_15829_genome,0.6183206106870229,human vaginal metagenome
SRR11749281,FV_PB189-T1-4_genome,0.5597014925373134,human vaginal metagenome
SRR11749282,FV_DSM_15829_genome,0.5343511450381679,human vaginal metagenome
SRR11749282,FV_PB189-T1-4_genome,0.503731343283582,human vaginal metagenome
SRR11749285,FV_DSM_15829_genome,0.6183206106870229,human vaginal metagenome
SRR12018796,FV_DSM_15829_genome,0.549618320610687,human vaginal metagenome
SRR12018851,FV_DSM_15829_genome,0.5954198473282443,human vaginal metagenome
SRR12018872,FV_DSM_15829_genome,0.5190839694656488,human vaginal metagenome
SRR12018882,FV_DSM_15829_genome,0.5190839694656488,human vaginal metagenome
SRR12018883,FV_PB189-T1-4_genome,0.6156716417910447,human vaginal metagenome
SRR12018892,FV_PB189-T1-4_genome,0.5335820895522388,human vaginal metagenome
SRR12018895,FV_PB189-T1-4_genome,0.5261194029850746,human vaginal metagenome
SRR12018942,FV_DSM_15829_genome,0.6183206106870229,human vaginal metagenome
SRR12018955,FV_DSM_15829_genome,0.6412213740458015,human vaginal metagenome
SRR12018958,FV_DSM_15829_genome,0.5877862595419847,human vaginal metagenome
SRR12328938,FV_DSM_15829_genome,0.5343511450381679,human gut metagenome
SRR12328939,FV_DSM_15829_genome,0.5267175572519084,human gut metagenome
SRR12830910,FV_DSM_15829_genome,0.6793893129770993,Homo sapiens
